edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
1,1903-07-01,Maurice Garin,La Française,2428.0,94.55388888888888,2.9891666666666667,3,6,1.62,60.0,32,1871-03-03,1957-02-19,,The Little Chimney-sweep,Arvier,Italy, France
2,1904-07-02,Henri Cornet,Conte,2428.0,96.09861111111113,2.270555555555556,1,3,,,19,1884-08-04,1941-03-18,,Le rigolo (The joker),Desvres,France, France
3,1905-07-09,Louis Trousselier,Peugeot–Wolber,2994.0,,,5,10,,,24,1881-06-29,1939-04-24,,Levaloy / Trou-trou,Paris,France, France
4,1906-07-04,René Pottier,Peugeot–Wolber,4637.0,,,5,12,,,27,1879-06-05,1907-01-25,,,Moret-sur-Loing,France, France
5,1907-07-08,Lucien Petit-Breton,Peugeot–Wolber,4488.0,,,2,5,,,24,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
6,1908-07-13,Lucien Petit-Breton,Peugeot–Wolber,4497.0,,,5,13,,,25,1882-10-18,1917-12-20,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
7,1909-07-05,François Faber,Alcyon–Dunlop,4498.0,,,6,13,1.78,88.0,22,1887-01-26,1915-05-09,,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg
8,1910-07-01,Octave Lapize,Alcyon–Dunlop,4734.0,,,4,3,,,22,1887-10-24,1917-07-14,,,Paris,France, France
9,1911-07-02,Gustave Garrigou,Alcyon–Dunlop,5343.0,,,2,13,,,26,1884-09-24,1963-01-28,Cyprien Gustave Garrigou,,Vabres,France, France
10,1912-06-30,Odile Defraye,Alcyon–Dunlop,5289.0,,,3,13,,,23,1888-07-14,1965-08-21,,,Rumbeke,Belgium, Belgium
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287.0,197.9,0.13555555555555554,1,8,,,23,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
12,1914-06-28,Philippe Thys,Peugeot–Wolber,5380.0,200.48,0.016944444444444443,1,15,,,24,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
13,1919-06-29,Firmin Lambot,La Sportive,5560.0,231.1208333333333,1.715,1,2,,,33,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
14,1920-06-27,Philippe Thys,La Sportive,5503.0,228.6036111111111,0.9658333333333332,4,14,,,30,1889-10-08,1971-01-16,,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
15,1921-06-26,Léon Scieur,La Sportive,5485.0,221.84055555555562,0.305,2,14,,,33,1888-03-18,1969-10-07,,,Florennes,Belgium, Belgium
16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375.0,222.135,0.6947222222222222,0,3,,,36,1886-03-14,1964-01-19,,,Florennes,Belgium, Belgium
17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386.0,222.25833333333333,0.5083333333333333,3,6,,,34,1889-01-22,1935-05-01,,,Paris,France, France
18,1924-06-22,Ottavio Bottecchia,Automoto,5425.0,226.3058333333333,0.5930555555555556,4,15,,,29,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440.0,219.17166666666665,0.915,4,13,,,30,1894-08-01,1927-06-15,,,San Martino di Colle Umberto,Italy, Italy
20,1926-06-20,Lucien Buysse,Automoto–Hutchinson,5745.0,238.74027777777775,1.3736111111111111,2,8,,,33,1892-09-11,1980-01-03,,,Wontergem,Belgium, Belgium
21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,5398.0,198.2783333333333,1.8113888888888892,3,14,,,27,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476.0,192.81611111111116,0.8472222222222222,5,22,,,28,1899-11-04,1985-11-08,,,Mamer,Luxembourg, Luxembourg
23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286.0,186.65416666666667,0.7455555555555555,1,16,,,32,1896-12-27,1952-02-14,,,Lovendegem,Belgium, Belgium
24,1930-07-02,André Leducq,Alcyon–Dunlop,4822.0,172.2044444444444,0.23722222222222225,2,13,,,26,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
25,1931-06-30,Antonin Magne,France,5091.0,177.1675,0.20333333333333334,1,16,,,27,1904-01-15,1983-09-08,,,Ytrac,France, France
26,1932-07-06,André Leducq,France,4479.0,154.19694444444445,0.4066666666666667,6,19,,,28,1904-02-27,1980-06-18,,,Saint-Ouen,France, France
27,1933-06-27,Georges Speicher,France,4395.0,147.86027777777778,0.06777777777777777,3,12,,,26,1907-06-08,1978-01-24,,,Paris,France, France
28,1934-07-03,Antonin Magne,France,4470.0,147.23277777777778,0.4575,3,22,,,30,1904-01-15,1983-09-08,,,Ytrac,France, France
29,1935-07-04,Romain Maes,Belgium,4338.0,141.38333333333333,0.2880555555555556,3,21,,,22,1912-08-10,1983-02-22,,,Zerkegem,Belgium, Belgium
30,1936-07-07,Sylvère Maes,Belgium,4442.0,142.79222222222222,0.4405555555555556,4,14,,,26,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
31,1937-06-30,Roger Lapébie,France,4415.0,138.97527777777782,0.11861111111111113,3,4,,,26,1911-01-16,1996-10-12,,,Bayonne,France, France
32,1938-07-05,Gino Bartali,Italy,4694.0,148.48666666666662,0.305,2,8,1.72,66.0,23,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
33,1939-07-10,Sylvère Maes,Belgium,4224.0,132.05472222222224,0.5083333333333333,2,8,,,29,1909-08-27,1966-12-05,,,Zevekote,Belgium, Belgium
34,1947-06-25,Jean Robic,France,4642.0,148.1902777777778,0.050833333333333335,3,1,1.61,60.0,26,1921-06-10,1980-10-06,,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France, France
35,1948-06-30,Gino Bartali,Italy,4922.0,147.17666666666662,0.4405555555555556,7,9,1.72,66.0,33,1914-07-18,2000-05-05,,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
